dataset,model,technique,real,pred,perc_completeness
letter_2,LogisticRegression,impute_cmeans,-0.20799802413720592,-0.039158480924977535,0.4009874999999999
letter_3,LogisticRegression,impute_cmeans,-0.20995372657989586,-0.034701811721895265,0.3568625
letter_4,LogisticRegression,impute_cmeans,-0.2176674195665773,-0.03555429579437212,0.3018375
letter_5,LogisticRegression,impute_cmeans,-0.21636381487395906,-0.03533803697832264,0.247525
letter_6,LogisticRegression,impute_cmeans,-0.24725317923435863,-0.011734232498808707,0.2007125
letter_7,LogisticRegression,impute_cmeans,-0.2225634920707924,-0.012492265239838865,0.14715
letter_8,LogisticRegression,impute_cmeans,-0.15362969408496463,-0.0034269039381399197,0.0986375
letter_9,LogisticRegression,impute_cmeans,-0.07670282662450845,-0.0034072342943202924,0.050875
letter_10,LogisticRegression,impute_cmeans,-0.14027876276562745,-0.017993060775469562,0.5012375
letter_11,LogisticRegression,impute_cmeans,-0.14899877843010478,-0.018840849317154434,0.4509875
letter_12,LogisticRegression,impute_cmeans,-0.1833475231783943,-0.02532755326216182,0.4006124999999999
letter_13,LogisticRegression,impute_cmeans,-0.17242062681460646,-0.02563806563144603,0.3481125
letter_14,LogisticRegression,impute_cmeans,-0.1880960564508649,-0.0016507605234864751,0.299475
letter_15,LogisticRegression,impute_cmeans,-0.16734014680431564,-0.004680769848259729,0.2524
letter_16,LogisticRegression,impute_cmeans,-0.19665707728586423,-0.004265334103969448,0.2019
letter_17,LogisticRegression,impute_cmeans,-0.1692282095536779,-0.005731208236327826,0.1490875
letter_18,LogisticRegression,impute_cmeans,-0.1550631020270974,-0.0033433550032539784,0.0980249999999999
letter_19,LogisticRegression,impute_cmeans,-0.1092256597872816,-0.0037172542608986804,0.0499375
letter_20,LogisticRegression,impute_cmeans,-0.10570726210434356,-0.08925243154601954,0.4984
letter_21,LogisticRegression,impute_cmeans,-0.07098529340551618,-0.07011447828257864,0.4461125
letter_22,LogisticRegression,impute_cmeans,-0.06861561877217492,-0.07943729247418821,0.4066125
letter_23,LogisticRegression,impute_cmeans,-0.06199751803655795,-0.016233242013436965,0.3522375
letter_24,LogisticRegression,impute_cmeans,-0.06816716545857204,-0.023492329130944237,0.299725
letter_25,LogisticRegression,impute_cmeans,-0.06471391958682493,-0.03507327263122793,0.2440875
letter_26,LogisticRegression,impute_cmeans,-0.023707792206917988,-0.05261009673349944,0.2010875
letter_27,LogisticRegression,impute_cmeans,-0.0005119526248931194,-0.0584453925142551,0.1530875
letter_28,LogisticRegression,impute_cmeans,0.013222642814364693,-0.06483525537455137,0.097475
letter_29,LogisticRegression,impute_cmeans,-0.007093681761071169,-0.07326544600357668,0.0484374999999999
letter_0,KNN,impute_standard,0.0,0.0,0.4983124999999999
letter_1,KNN,impute_standard,0.0,0.0,0.44755
letter_2,KNN,impute_standard,0.0,0.0,0.4009874999999999
letter_3,KNN,impute_standard,0.0,0.0,0.3568625
letter_4,KNN,impute_standard,0.0,0.0,0.3018375
letter_5,KNN,impute_standard,0.0,0.0,0.247525
letter_6,KNN,impute_standard,0.0,0.0,0.2007125
letter_7,KNN,impute_standard,0.0,0.0,0.14715
letter_8,KNN,impute_standard,0.0,0.0,0.0986375
letter_9,KNN,impute_standard,0.0,0.0,0.050875
letter_10,KNN,impute_standard,0.0,0.0,0.5012375
letter_11,KNN,impute_standard,0.0,0.0,0.4509875
letter_12,KNN,impute_standard,0.0,0.0,0.4006124999999999
letter_13,KNN,impute_standard,0.0,0.0,0.3481125
letter_14,KNN,impute_standard,0.0,0.0,0.299475
letter_15,KNN,impute_standard,0.0,0.0,0.2524
letter_16,KNN,impute_standard,0.0,0.0,0.2019
letter_17,KNN,impute_standard,0.0,0.0,0.1490875
letter_18,KNN,impute_standard,0.0,0.0,0.0980249999999999
letter_19,KNN,impute_standard,0.0,0.0,0.0499375
letter_20,KNN,impute_standard,0.0,0.0,0.4984
letter_21,KNN,impute_standard,0.0,0.0,0.4461125
letter_22,KNN,impute_standard,0.0,0.0,0.4066125
letter_23,KNN,impute_standard,0.0,0.0,0.3522375
letter_24,KNN,impute_standard,0.0,0.0,0.299725
letter_25,KNN,impute_standard,0.0,0.0,0.2440875
letter_26,KNN,impute_standard,0.0,0.0,0.2010875
letter_27,KNN,impute_standard,0.0,0.0,0.1530875
letter_28,KNN,impute_standard,0.0,0.0,0.097475
letter_29,KNN,impute_standard,0.0,0.0,0.0484374999999999
letter_0,KNN,impute_mean,0.012168592745315565,8.408688402568666e-05,0.4983124999999999
letter_1,KNN,impute_mean,-0.01019167127612497,-0.0007295025324273301,0.44755
letter_2,KNN,impute_mean,-0.006071751274783432,-0.001588923772829525,0.4009874999999999
letter_3,KNN,impute_mean,-0.02091177301423497,0.00010864210354913442,0.3568625
letter_4,KNN,impute_mean,-0.004392862664400088,0.0014776670026650889,0.3018375
letter_5,KNN,impute_mean,0.003162316303266688,0.0008817316918650699,0.247525
letter_6,KNN,impute_mean,-0.009446714526388789,-0.00048295140724387487,0.2007125
letter_7,KNN,impute_mean,-0.0022351251540599915,-0.0009826292591448929,0.14715
letter_8,KNN,impute_mean,-0.012784708236616815,-0.0007591956319609056,0.0986375
letter_9,KNN,impute_mean,-0.007420394567216215,-0.0008938011293420882,0.050875
letter_10,KNN,impute_mean,0.0004528002952146615,-0.004428000050178328,0.5012375
letter_11,KNN,impute_mean,0.0024697946608887023,-0.005229551639351282,0.4509875
letter_12,KNN,impute_mean,0.016776589116598406,-0.004804538773790171,0.4006124999999999
letter_13,KNN,impute_mean,-0.0035219706891793656,-0.004076731805223036,0.3481125
letter_14,KNN,impute_mean,0.019274150525575018,-0.0032145871509428017,0.299475
letter_15,KNN,impute_mean,-0.0003746960946253708,-0.0008311412092201082,0.2524
letter_16,KNN,impute_mean,0.006519173288021096,-0.00048457734087504914,0.2019
letter_17,KNN,impute_mean,0.010610040326440418,-0.0018009864007080489,0.1490875
letter_18,KNN,impute_mean,0.01579433088909099,-0.0006373471863345946,0.0980249999999999
letter_19,KNN,impute_mean,0.001135276195582735,-0.0008596622186524953,0.0499375
letter_20,KNN,impute_mean,-0.07058346057569875,-0.020569416525718236,0.4984
letter_21,KNN,impute_mean,-0.07933569492928139,-0.019755319189696696,0.4461125
letter_22,KNN,impute_mean,-0.05341691854283859,-0.018888229317781318,0.4066125
letter_23,KNN,impute_mean,-0.05767267423652522,-0.007713826374229638,0.3522375
letter_24,KNN,impute_mean,-0.044709917251599895,-0.007181372456993164,0.299725
letter_25,KNN,impute_mean,-0.053161976225584384,-0.0063673407942807115,0.2440875
